elapsed_ms,power_percent,heater_on,temperature_c,status
0,70,1,33.0,RUN
10200,70,1,33.2,RUN
20400,70,1,33.2,RUN
30600,70,1,33.4,RUN
40800,70,1,33.4,RUN
51000,70,1,33.5,RUN
61200,70,1,33.7,RUN
71400,70,1,33.8,RUN
81600,70,1,33.9,RUN
91800,70,1,34.0,RUN
102000,70,1,34.2,RUN
112200,70,1,34.3,RUN
122400,70,1,34.5,RUN
132600,70,1,34.6,RUN
142800,70,1,34.9,RUN
153000,70,1,35.0,RUN
163200,70,1,35.3,RUN
173400,70,1,35.5,RUN
183600,70,1,35.7,RUN
193800,70,1,36.1,RUN
204000,70,1,36.4,RUN
214200,70,1,36.5,RUN
224400,70,1,36.8,RUN
234600,70,1,37.1,RUN
244800,70,1,37.3,RUN
255000,70,1,37.7,RUN
265200,70,1,38.0,RUN
275400,70,1,38.4,RUN
285600,70,1,38.7,RUN
295800,70,1,39.1,RUN
306000,70,1,39.4,RUN
316200,70,1,39.9,RUN
326400,70,1,40.2,RUN
336600,70,1,40.6,RUN
346800,70,1,41.0,RUN
357000,70,0,41.5,RUN
367200,70,0,41.6,RUN
377400,70,0,42.0,RUN
387600,70,0,42.4,RUN
397800,70,0,43.0,RUN
408000,70,0,43.2,RUN
418200,70,0,43.6,RUN
428400,70,0,44.0,RUN
438600,70,0,44.4,RUN
448800,70,0,44.8,RUN
459000,70,0,45.2,RUN
469200,70,0,45.6,RUN
479400,70,0,45.9,RUN
489600,70,0,46.4,RUN
499800,70,0,46.9,RUN
510000,70,1,47.3,RUN
520200,70,1,47.6,RUN
530400,70,1,48.1,RUN
540600,70,1,48.4,RUN
550800,70,1,49.0,RUN
561000,70,1,49.5,RUN
571200,70,1,49.8,RUN
581400,70,1,50.3,RUN
591600,70,1,50.7,RUN
601800,70,1,51.3,RUN
612000,70,1,51.7,RUN
622200,70,1,52.1,RUN
632400,70,1,52.5,RUN
642600,70,1,52.9,RUN
652800,70,1,53.3,RUN
663000,70,1,53.8,RUN
673200,70,1,54.3,RUN
683400,70,1,54.7,RUN
693600,70,1,55.1,RUN
703800,70,1,55.7,RUN
714000,70,1,56.0,RUN
724200,70,1,56.4,RUN
734400,70,1,56.9,RUN
744600,70,1,57.4,RUN
754800,70,1,57.7,RUN
765000,70,1,58.2,RUN
775200,70,1,58.7,RUN
785400,70,1,59.4,RUN
795600,70,1,59.7,RUN
805800,70,1,60.0,RUN
816000,70,1,60.1,RUN
826200,70,1,60.3,RUN
836400,70,1,60.9,RUN
846600,70,1,61.5,RUN
856800,70,1,62.0,RUN
867000,70,0,62.4,RUN
877200,70,0,62.8,RUN
887400,70,0,63.2,RUN
897600,70,0,63.4,RUN
907800,70,0,63.8,RUN
918000,70,0,64.1,RUN
928200,70,0,64.5,RUN
938400,70,0,65.3,RUN
948600,70,0,66.0,RUN
958800,70,0,66.2,RUN
969000,70,0,66.5,RUN
979200,70,0,67.0,RUN
989400,70,0,67.5,RUN
999600,70,0,68.0,RUN
1009800,70,0,68.4,RUN
1020000,70,1,68.7,RUN
1030200,70,1,69.3,RUN
1040400,70,1,69.7,RUN
1050600,70,1,69.9,RUN
1060800,70,1,70.4,RUN
1071000,70,1,70.7,RUN
1081200,70,1,71.1,RUN
1091400,70,1,71.5,RUN
1101600,70,1,71.8,RUN
1111800,70,1,72.2,RUN
1122000,70,1,72.7,RUN
1132200,70,1,73.1,RUN
1142400,70,1,73.4,RUN
1152600,70,1,73.8,RUN
1162800,70,1,74.3,RUN
1173000,70,1,74.5,RUN
1183200,70,1,74.9,RUN
1193400,70,1,75.5,RUN
1203600,70,1,76.2,RUN
1213800,70,1,76.5,RUN
1224000,70,1,76.9,RUN
1234200,70,1,77.3,RUN
1244400,70,1,77.7,RUN
1254600,70,1,78.2,RUN
1264800,70,1,78.2,RUN
1275000,70,1,78.7,RUN
1285200,70,1,79.2,RUN
1295400,70,1,79.5,RUN
1305600,70,1,80.0,RUN
1315800,70,1,80.5,RUN
1326000,70,1,81.0,RUN
1336200,70,1,81.4,RUN
1346400,70,1,82.0,RUN
1356600,70,1,82.3,RUN
1366800,70,1,82.7,RUN
1377000,70,0,83.0,RUN
1387200,70,0,83.3,RUN
1397400,70,0,83.8,RUN
1407600,70,0,84.4,RUN
1417800,70,0,84.6,RUN
1428000,70,0,85.1,RUN
1438200,70,0,85.5,RUN
1448400,70,0,85.6,RUN
1458600,70,0,86.3,RUN
1468800,70,0,86.4,RUN
1479000,70,0,86.4,RUN
1489200,70,0,86.5,RUN
1499400,70,0,86.6,RUN
1509600,70,0,86.8,RUN
1519800,70,0,87.4,RUN
1530000,70,1,88.1,RUN
1540200,70,1,88.4,RUN
1550400,70,1,88.9,RUN
1560600,70,1,89.3,RUN
1570800,70,1,89.8,RUN
1581000,70,1,90.1,RUN
1591200,70,1,90.2,RUN
1601400,70,1,90.5,RUN
1611600,70,1,90.8,RUN
1621800,70,1,91.1,RUN
1632000,70,1,91.5,RUN
1642200,70,1,92.1,RUN
1652400,70,1,92.4,RUN
1662600,70,1,92.9,RUN
1672800,70,1,93.3,RUN
1683000,70,1,94.0,RUN
1693200,70,1,94.8,RUN
1703400,70,1,95.2,RUN
1713600,70,1,95.4,RUN
1723800,70,1,95.6,RUN
1734000,70,1,96.1,RUN
1744200,70,1,96.6,RUN
1754400,70,1,97.1,RUN
1764600,70,1,97.4,RUN
1774800,70,1,97.6,RUN
1785000,70,1,97.9,RUN
1795200,70,1,97.9,RUN
1805400,70,1,98.2,RUN
1815600,70,1,98.9,RUN
1825800,70,1,99.4,RUN
1836000,70,1,99.8,RUN
1846200,70,1,100.2,RUN
1856400,70,1,100.4,RUN
1866600,70,1,100.6,RUN
1876800,70,1,100.9,RUN
1887000,70,0,100.9,RUN
1897200,70,0,101.4,RUN
1907400,70,0,102.0,RUN
1917600,70,0,102.2,RUN
1927800,70,0,102.3,RUN
1938000,70,0,102.7,RUN
1948200,70,0,102.9,RUN
1958400,70,0,103.1,RUN
1968600,70,0,103.4,RUN
1978800,70,0,103.6,RUN
1989000,70,0,103.6,RUN
1999200,70,0,103.6,RUN
2009400,70,0,104.1,RUN
2019600,70,0,104.5,RUN
2029800,70,0,104.7,RUN
2040000,70,1,105.1,RUN
2050200,70,1,105.6,RUN
2060400,70,1,105.8,RUN
2070600,70,1,106.1,RUN
2080800,70,1,106.4,RUN
2091000,70,1,106.8,RUN
2100000,70,0,106.9,DONE
