elapsed_ms,power_percent,heater_on,temperature_c,status
0,40,1,33.2,RUN
10200,40,1,33.2,RUN
20400,40,1,33.2,RUN
30600,40,1,33.2,RUN
40800,40,1,33.2,RUN
51000,40,1,33.3,RUN
61200,40,1,33.4,RUN
71400,40,1,33.6,RUN
81600,40,1,33.9,RUN
91800,40,1,34.1,RUN
102000,40,1,34.3,RUN
112200,40,1,34.6,RUN
122400,40,1,34.7,RUN
132600,40,1,34.8,RUN
142800,40,1,35.0,RUN
153000,40,1,35.1,RUN
163200,40,1,35.4,RUN
173400,40,1,35.6,RUN
183600,40,1,35.8,RUN
193800,40,1,36.0,RUN
204000,40,0,36.3,RUN
214200,40,0,36.6,RUN
224400,40,0,36.8,RUN
234600,40,0,37.0,RUN
244800,40,0,37.3,RUN
255000,40,0,37.5,RUN
265200,40,0,37.8,RUN
275400,40,0,38.0,RUN
285600,40,0,38.3,RUN
295800,40,0,38.5,RUN
306000,40,0,38.7,RUN
316200,40,0,39.1,RUN
326400,40,0,39.3,RUN
336600,40,0,39.6,RUN
346800,40,0,39.8,RUN
357000,40,0,40.0,RUN
367200,40,0,40.3,RUN
377400,40,0,40.5,RUN
387600,40,0,40.8,RUN
397800,40,0,41.1,RUN
408000,40,0,41.3,RUN
418200,40,0,41.6,RUN
428400,40,0,41.8,RUN
438600,40,0,42.0,RUN
448800,40,0,42.2,RUN
459000,40,0,42.4,RUN
469200,40,0,42.6,RUN
479400,40,0,42.8,RUN
489600,40,0,43.1,RUN
499800,40,0,43.3,RUN
510000,40,1,43.4,RUN
520200,40,1,43.6,RUN
530400,40,1,43.9,RUN
540600,40,1,44.1,RUN
550800,40,1,44.3,RUN
561000,40,1,44.7,RUN
571200,40,1,44.8,RUN
581400,40,1,45.0,RUN
591600,40,1,45.3,RUN
601800,40,1,45.5,RUN
612000,40,1,45.8,RUN
622200,40,1,45.9,RUN
632400,40,1,46.0,RUN
642600,40,1,46.2,RUN
652800,40,1,46.5,RUN
663000,40,1,46.8,RUN
673200,40,1,46.9,RUN
683400,40,1,47.2,RUN
693600,40,1,47.4,RUN
703800,40,1,47.7,RUN
714000,40,0,47.9,RUN
724200,40,0,48.1,RUN
734400,40,0,48.2,RUN
744600,40,0,48.4,RUN
754800,40,0,48.7,RUN
765000,40,0,48.9,RUN
775200,40,0,49.1,RUN
785400,40,0,49.3,RUN
795600,40,0,49.5,RUN
805800,40,0,49.7,RUN
816000,40,0,49.9,RUN
826200,40,0,50.0,RUN
836400,40,0,50.3,RUN
846600,40,0,50.6,RUN
856800,40,0,50.8,RUN
867000,40,0,51.1,RUN
877200,40,0,51.3,RUN
887400,40,0,51.6,RUN
897600,40,0,51.9,RUN
907800,40,0,52.0,RUN
918000,40,0,52.2,RUN
928200,40,0,52.4,RUN
938400,40,0,52.8,RUN
948600,40,0,52.9,RUN
958800,40,0,53.1,RUN
969000,40,0,53.2,RUN
979200,40,0,53.5,RUN
989400,40,0,53.6,RUN
999600,40,0,53.8,RUN
1009800,40,0,54.1,RUN
1020000,40,1,54.3,RUN
1030200,40,1,54.5,RUN
1040400,40,1,54.7,RUN
1050600,40,1,54.8,RUN
1060800,40,1,54.9,RUN
1071000,40,1,55.2,RUN
1081200,40,1,55.5,RUN
1091400,40,1,55.8,RUN
1101600,40,1,55.9,RUN
1111800,40,1,56.2,RUN
1122000,40,1,56.5,RUN
1132200,40,1,56.6,RUN
1142400,40,1,56.9,RUN
1152600,40,1,57.0,RUN
1162800,40,1,57.2,RUN
1173000,40,1,57.4,RUN
1183200,40,1,57.5,RUN
1193400,40,1,57.8,RUN
1203600,40,1,58.2,RUN
1213800,40,1,58.3,RUN
1224000,40,0,58.4,RUN
1234200,40,0,58.6,RUN
1244400,40,0,59.0,RUN
1254600,40,0,59.3,RUN
1264800,40,0,59.4,RUN
1275000,40,0,59.7,RUN
1285200,40,0,59.9,RUN
1295400,40,0,60.1,RUN
1305600,40,0,60.4,RUN
1315800,40,0,60.5,RUN
1326000,40,0,60.6,RUN
1336200,40,0,60.9,RUN
1346400,40,0,61.1,RUN
1356600,40,0,61.3,RUN
1366800,40,0,61.5,RUN
1377000,40,0,61.7,RUN
1387200,40,0,61.9,RUN
1397400,40,0,62.2,RUN
1407600,40,0,62.5,RUN
1417800,40,0,62.6,RUN
1428000,40,0,62.6,RUN
1438200,40,0,62.7,RUN
1448400,40,0,62.9,RUN
1458600,40,0,63.0,RUN
1468800,40,0,63.2,RUN
1479000,40,0,63.5,RUN
1489200,40,0,63.8,RUN
1499400,40,0,64.1,RUN
1509600,40,0,64.2,RUN
1519800,40,0,64.4,RUN
1530000,40,1,64.6,RUN
1540200,40,1,64.8,RUN
1550400,40,1,65.1,RUN
1560600,40,1,65.3,RUN
1570800,40,1,65.4,RUN
1581000,40,1,65.8,RUN
1591200,40,1,66.0,RUN
1601400,40,1,66.0,RUN
1611600,40,1,66.0,RUN
1621800,40,1,66.2,RUN
1632000,40,1,66.5,RUN
1642200,40,1,66.7,RUN
1652400,40,1,66.7,RUN
1662600,40,1,66.8,RUN
1672800,40,1,67.0,RUN
1683000,40,1,67.4,RUN
1693200,40,1,67.6,RUN
1703400,40,1,67.8,RUN
1713600,40,1,68.0,RUN
1723800,40,1,68.3,RUN
1734000,40,0,68.4,RUN
1744200,40,0,68.5,RUN
1754400,40,0,68.6,RUN
1764600,40,0,68.7,RUN
1774800,40,0,68.9,RUN
1785000,40,0,69.2,RUN
1795200,40,0,69.5,RUN
1805400,40,0,69.8,RUN
1815600,40,0,69.9,RUN
1825800,40,0,70.1,RUN
1836000,40,0,70.4,RUN
1846200,40,0,70.7,RUN
1856400,40,0,70.8,RUN
1866600,40,0,70.8,RUN
1876800,40,0,70.8,RUN
1887000,40,0,71.0,RUN
1897200,40,0,71.1,RUN
1907400,40,0,71.5,RUN
1917600,40,0,71.5,RUN
1927800,40,0,71.7,RUN
1938000,40,0,71.8,RUN
1948200,40,0,71.9,RUN
1958400,40,0,72.2,RUN
1968600,40,0,72.5,RUN
1978800,40,0,72.7,RUN
1989000,40,0,73.0,RUN
1999200,40,0,73.1,RUN
2009400,40,0,73.2,RUN
2019600,40,0,73.3,RUN
2029800,40,0,73.4,RUN
2040000,40,1,73.6,RUN
2050200,40,1,73.6,RUN
2060400,40,1,73.9,RUN
2070600,40,1,74.1,RUN
2080800,40,1,74.2,RUN
2091000,40,1,74.5,RUN
2100000,40,0,74.8,DONE
