elapsed_ms,power_percent,heater_on,temperature_c,status
0,100,1,33.1,RUN
10200,100,1,33.0,RUN
20400,100,1,32.9,RUN
30600,100,1,32.9,RUN
40800,100,1,32.9,RUN
51000,100,1,32.9,RUN
61200,100,1,32.8,RUN
71400,100,1,32.8,RUN
81600,100,1,32.8,RUN
91800,100,1,32.8,RUN
102000,100,1,32.8,RUN
112200,100,1,32.9,RUN
122400,100,1,32.9,RUN
132600,100,1,33.0,RUN
142800,100,1,33.0,RUN
153000,100,1,33.3,RUN
163200,100,1,33.3,RUN
173400,100,1,33.5,RUN
183600,100,1,33.6,RUN
193800,100,1,33.7,RUN
204000,100,1,33.9,RUN
214200,100,1,34.0,RUN
224400,100,1,34.3,RUN
234600,100,1,34.5,RUN
244800,100,1,34.8,RUN
255000,100,1,35.0,RUN
265200,100,1,35.3,RUN
275400,100,1,35.6,RUN
285600,100,1,35.9,RUN
295800,100,1,36.2,RUN
306000,100,1,36.5,RUN
316200,100,1,36.9,RUN
326400,100,1,37.2,RUN
336600,100,1,37.5,RUN
346800,100,1,37.9,RUN
357000,100,1,38.2,RUN
367200,100,1,38.7,RUN
377400,100,1,39.1,RUN
387600,100,1,39.5,RUN
397800,100,1,39.9,RUN
408000,100,1,40.4,RUN
418200,100,1,40.9,RUN
428400,100,1,41.4,RUN
438600,100,1,41.9,RUN
448800,100,1,42.4,RUN
459000,100,1,43.0,RUN
469200,100,1,43.5,RUN
479400,100,1,44.0,RUN
489600,100,1,44.7,RUN
499800,100,1,45.1,RUN
510000,100,1,45.7,RUN
520200,100,1,46.2,RUN
530400,100,1,46.7,RUN
540600,100,1,47.3,RUN
550800,100,1,47.8,RUN
561000,100,1,48.3,RUN
571200,100,1,48.9,RUN
581400,100,1,49.3,RUN
591600,100,1,49.7,RUN
601800,100,1,50.2,RUN
612000,100,1,50.8,RUN
622200,100,1,51.3,RUN
632400,100,1,51.8,RUN
642600,100,1,52.2,RUN
652800,100,1,52.7,RUN
663000,100,1,53.3,RUN
673200,100,1,54.0,RUN
683400,100,1,54.6,RUN
693600,100,1,55.2,RUN
703800,100,1,55.7,RUN
714000,100,1,56.4,RUN
724200,100,1,57.1,RUN
734400,100,1,57.6,RUN
744600,100,1,58.2,RUN
754800,100,1,58.8,RUN
765000,100,1,59.3,RUN
775200,100,1,59.9,RUN
785400,100,1,60.4,RUN
795600,100,1,61.2,RUN
805800,100,1,61.9,RUN
816000,100,1,62.6,RUN
826200,100,1,63.2,RUN
836400,100,1,63.9,RUN
846600,100,1,64.7,RUN
856800,100,1,65.6,RUN
867000,100,1,66.5,RUN
877200,100,1,67.4,RUN
887400,100,1,68.4,RUN
897600,100,1,69.4,RUN
907800,100,1,70.2,RUN
918000,100,1,71.3,RUN
928200,100,1,72.1,RUN
938400,100,1,72.9,RUN
948600,100,1,73.6,RUN
958800,100,1,74.3,RUN
969000,100,1,74.7,RUN
979200,100,1,75.4,RUN
989400,100,1,76.2,RUN
999600,100,1,77.0,RUN
1009800,100,1,77.6,RUN
1020000,100,1,78.5,RUN
1030200,100,1,79.0,RUN
1040400,100,1,79.5,RUN
1050600,100,1,80.2,RUN
1060800,100,1,80.9,RUN
1071000,100,1,81.6,RUN
1081200,100,1,82.4,RUN
1091400,100,1,82.9,RUN
1101600,100,1,83.4,RUN
1111800,100,1,84.0,RUN
1122000,100,1,84.8,RUN
1132200,100,1,85.5,RUN
1142400,100,1,86.0,RUN
1152600,100,1,86.4,RUN
1162800,100,1,87.2,RUN
1173000,100,1,87.8,RUN
1183200,100,1,88.3,RUN
1193400,100,1,88.9,RUN
1203600,100,1,89.5,RUN
1213800,100,1,90.1,RUN
1224000,100,1,90.9,RUN
1234200,100,1,91.4,RUN
1244400,100,1,91.8,RUN
1254600,100,1,92.2,RUN
1264800,100,1,92.7,RUN
1275000,100,1,93.3,RUN
1285200,100,1,94.0,RUN
1295400,100,1,94.8,RUN
1305600,100,1,95.2,RUN
1315800,100,1,95.6,RUN
1326000,100,1,96.2,RUN
1336200,100,1,96.7,RUN
1346400,100,1,97.1,RUN
1356600,100,1,97.5,RUN
1366800,100,1,98.1,RUN
1377000,100,1,98.7,RUN
1387200,100,1,99.3,RUN
1397400,100,1,99.8,RUN
1407600,100,1,100.4,RUN
1417800,100,1,100.8,RUN
1428000,100,1,101.2,RUN
1438200,100,1,101.6,RUN
1448400,100,1,102.3,RUN
1458600,100,1,102.7,RUN
1468800,100,1,103.1,RUN
1479000,100,1,103.3,RUN
1489200,100,1,103.7,RUN
1499400,100,1,104.4,RUN
1509600,100,1,104.7,RUN
1519800,100,1,105.3,RUN
1530000,100,1,105.8,RUN
1540200,100,1,106.2,RUN
1550400,100,1,106.8,RUN
1560600,100,1,107.1,RUN
1570800,100,1,107.6,RUN
1581000,100,1,108.1,RUN
1591200,100,1,108.4,RUN
1601400,100,1,108.8,RUN
1611600,100,1,109.3,RUN
1621800,100,1,109.6,RUN
1632000,100,1,110.2,RUN
1642200,100,1,110.5,RUN
1652400,100,1,110.8,RUN
1662600,100,1,111.1,RUN
1672800,100,1,111.6,RUN
1683000,100,1,112.0,RUN
1693200,100,1,112.6,RUN
1703400,100,1,113.1,RUN
1713600,100,1,113.2,RUN
1723800,100,1,113.5,RUN
1734000,100,1,114.0,RUN
1744200,100,1,114.3,RUN
1754400,100,1,114.6,RUN
1764600,100,1,115.3,RUN
1774800,100,1,115.6,RUN
1785000,100,1,116.0,RUN
