elapsed_ms,power_percent,heater_on,temperature_c,status
0,40,1,32.8,RUN
10200,40,1,32.8,RUN
20400,40,1,32.8,RUN
30600,40,1,32.9,RUN
40800,40,1,33.0,RUN
51000,40,1,33.2,RUN
61200,40,1,33.4,RUN
71400,40,1,33.6,RUN
81600,40,1,33.8,RUN
91800,40,1,34.0,RUN
102000,40,1,34.3,RUN
112200,40,1,34.5,RUN
122400,40,1,34.8,RUN
132600,40,1,35.0,RUN
142800,40,1,35.3,RUN
153000,40,1,35.6,RUN
163200,40,1,35.8,RUN
173400,40,1,36.1,RUN
183600,40,1,36.2,RUN
193800,40,1,36.5,RUN
204000,40,0,36.7,RUN
214200,40,0,36.9,RUN
224400,40,0,37.2,RUN
234600,40,0,37.4,RUN
244800,40,0,37.5,RUN
255000,40,0,37.8,RUN
265200,40,0,38.0,RUN
275400,40,0,38.2,RUN
285600,40,0,38.5,RUN
295800,40,0,38.6,RUN
306000,40,0,38.8,RUN
316200,40,0,39.0,RUN
326400,40,0,39.3,RUN
336600,40,0,39.4,RUN
346800,40,0,39.6,RUN
357000,40,0,39.7,RUN
367200,40,0,40.0,RUN
377400,40,0,40.2,RUN
387600,40,0,40.5,RUN
397800,40,0,40.8,RUN
408000,40,0,41.1,RUN
418200,40,0,41.3,RUN
428400,40,0,41.4,RUN
438600,40,0,41.6,RUN
448800,40,0,41.9,RUN
459000,40,0,42.3,RUN
469200,40,0,42.6,RUN
479400,40,0,42.8,RUN
489600,40,0,43.0,RUN
499800,40,0,43.3,RUN
510000,40,1,43.5,RUN
520200,40,1,43.8,RUN
530400,40,1,44.1,RUN
540600,40,1,44.3,RUN
550800,40,1,44.5,RUN
561000,40,1,44.7,RUN
571200,40,1,44.9,RUN
581400,40,1,45.2,RUN
591600,40,1,45.4,RUN
601800,40,1,45.5,RUN
612000,40,1,45.8,RUN
622200,40,1,46.0,RUN
632400,40,1,46.3,RUN
642600,40,1,46.6,RUN
652800,40,1,46.8,RUN
663000,40,1,47.2,RUN
673200,40,1,47.4,RUN
683400,40,1,47.6,RUN
693600,40,1,47.9,RUN
703800,40,1,48.3,RUN
714000,40,0,48.6,RUN
724200,40,0,48.8,RUN
734400,40,0,49.0,RUN
744600,40,0,49.2,RUN
754800,40,0,49.5,RUN
765000,40,0,49.8,RUN
775200,40,0,50.0,RUN
785400,40,0,50.3,RUN
795600,40,0,50.6,RUN
805800,40,0,50.7,RUN
816000,40,0,51.0,RUN
826200,40,0,51.2,RUN
